Ordine_Grandezza	Minimo_mrad	Incertezza_mrad
-2.3333333333333335	-21.248749999999998	0.05513759764960183
-2.0	-17.86805	0.055137408168143075
-1.666666666666667	-14.48735	0.05513725143835847
-1.3333333333333335	-11.192599999999999	0.05513713020675063
-1.0000000000000002	-7.697299999999999	0.055137035601728765
-0.6666666666666667	-4.34525	0.055136977761550715
-0.3333333333333335	-0.9359	0.055136951962656305
0.3333333333333335	2.4734499999999997	0.05513695947372808
0.6666666666666665	5.85415	0.055136999812937085
1.0	9.263499999999999	0.05513707366392552
1.3333333333333335	12.73015	0.05513718291029754
1.6666666666666665	15.9676	0.055137316032250513
2.0	19.43425	0.05513749187865795
2.333333333333333	22.81495	0.055137696533097774
