Ordine_Grandezza	Minimo_mrad	Incertezza_mrad
-3.6666666666666666	-11.7083	0.01654173993732104
-3.3333333333333333	-10.6769	0.01654162966862857
-2.6666666666666666	-8.213	0.016541407377965705
-2.3333333333333333	-7.1815999999999995	0.01654133154327248
-1.6666666666666666	-4.8323	0.016541196740863073
-1.3333333333333333	-3.8581999999999996	0.01654115630881221
-0.6666666666666666	-1.4516	0.016541095276352762
-0.3333333333333333	-0.42019999999999996	0.016541086055601895
0.3333333333333333	1.9864	0.016541104058015472
0.6666666666666666	2.9604999999999997	0.016541127073267707
1.3333333333333333	5.3671	0.016541222792955713
1.6666666666666666	6.3412	0.016541277264905264
2.3333333333333333	8.8624	0.01654146033868534
2.6666666666666666	9.6646	0.016541531322092188
3.3333333333333333	12.3577	0.016541814578396485
3.6666666666666666	13.102599999999999	0.016541905156039125

